id,spkid,full_name,pdes,name,prefix,neo,pha,H,diameter,albedo,diameter_sigma,orbit_id,epoch,epoch_mjd,epoch_cal,equinox,e,a,q,i,om,w,ma,ad,n,tp,tp_cal,per,per_y,moid,moid_ld,sigma_e,sigma_a,sigma_q,sigma_i,sigma_om,sigma_w,sigma_ma,sigma_ad,sigma_n,sigma_tp,sigma_per,class,rms
a0000001,2000001,     1 Ceres,1,Ceres,,N,N,3.4,939.4,0.09,0.2,JPL 47,2458600.5,58600,20190427,J2000,0.076009027,2.769165149,2.558683601,10.5940672,80.3055309,73.5976947,77.37209752,2.979646696,0.213885227,2458238.754,20180430.25,1683.145703,4.608201787,1.59478,620.6405326,4.82E-12,1.03E-11,1.96E-11,4.61E-09,6.17E-08,6.62E-08,7.82E-09,1.11E-11,1.20E-12,3.78E-08,9.42E-09,MBA,0.43301
a0000002,2000002,     2 Pallas,2,Pallas,,N,N,4.2,545,0.101,18,JPL 37,2459000.5,59000,20200531,J2000,0.229972259,2.773841435,2.135934854,34.83293159,173.0247412,310.2023924,144.9756755,3.411748015,0.213344586,2458320.962,20180721.46,1687.410992,4.619879512,1.23429,480.3486393,3.19E-08,4.03E-09,8.83E-08,3.47E-06,6.27E-06,9.13E-06,8.86E-06,4.96E-09,4.65E-10,4.08E-05,3.68E-06,MBA,0.35936
a0000003,2000003,     3 Juno,3,Juno,,N,N,5.33,246.596,0.214,10.594,JPL 112,2459000.5,59000,20200531,J2000,0.256936435,2.668285288,1.98270558,12.9910435,169.8514825,248.0661933,125.4353546,3.353864996,0.226128698,2458445.792,20181123.29,1592.013769,4.358696149,1.03429,402.5146393,3.05E-08,3.47E-09,8.14E-08,3.22E-06,1.66E-05,1.77E-05,8.11E-06,4.36E-09,4.41E-10,3.53E-05,3.11E-06,MBA,0.33848
a0000004,2000004,     4 Vesta,4,Vesta,,N,N,3,525.4,0.4228,0.2,JPL 35,2458600.5,58600,20190427,J2000,0.08872146,2.361417894,2.151909451,7.141771088,103.810804,150.7285411,95.86193772,2.570926337,0.271609402,2458247.56,20180509.06,1325.432763,3.628837134,1.13948,443.4514316,2.33E-10,1.51E-09,1.93E-09,2.17E-07,3.88E-07,1.79E-07,1.21E-06,1.65E-09,2.61E-10,4.10E-06,1.27E-06,MBA,0.3998
a0000005,2000005,     5 Astraea,5,Astraea,,N,N,6.9,106.699,0.274,3.14,JPL 114,2459000.5,59000,20200531,J2000,0.190913344,2.57403728,2.082619215,5.367427136,141.5710265,358.648418,17.84634261,3.065455345,0.238661203,2458925.723,20200317.22,1508.414421,4.12981361,1.09575,426.4330275,2.37E-08,3.97E-09,6.09E-08,2.74E-06,2.89E-05,2.98E-05,8.30E-06,4.73E-09,5.52E-10,3.47E-05,3.49E-06,MBA,0.52191
a0000006,2000006,     6 Hebe,6,Hebe,,N,N,5.8,185.18,0.2679,2.9,JPL 89,2459000.5,59000,20200531,J2000,0.203218826,2.424532679,1.931821993,14.73965332,138.6434315,239.7362732,190.6864963,2.917243364,0.261073031,2459649.029,20220310.53,1378.924506,3.775289545,0.973673,378.9243214,1.98E-08,2.75E-09,4.81E-08,2.19E-06,1.12E-05,1.30E-05,7.39E-06,3.31E-09,4.44E-10,2.88E-05,2.34E-06,MBA,0.41032
a0000007,2000007,     7 Iris,7,Iris,,N,N,5.6,199.83,0.2766,10,110,2459000.5,59000,20200531,J2000,0.230145044,2.387375341,1.837932737,5.521598289,259.5639434,145.2015446,247.4258115,2.936817944,0.267191734,2459421.824,20210726.32,1347.347071,3.688835238,0.850693,331.0641948,1.99E-08,2.01E-09,4.75E-08,2.58E-06,2.64E-05,2.71E-05,7.01E-06,2.47E-09,3.37E-10,2.66E-05,1.70E-06,MBA,0.38128
a0000008,2000008,     8 Flora,8,Flora,,N,N,6.5,147.491,0.226,1.025,JPL 118,2459000.5,59000,20200531,J2000,0.155832793,2.201414665,1.85836207,5.889080655,110.8765239,285.4589151,315.318013,2.54446726,0.301752788,2459148.575,20201026.07,1193.029574,3.266336959,0.87598,340.9051366,2.36E-08,2.31E-09,5.18E-08,3.24E-06,2.43E-05,2.66E-05,1.21E-05,2.67E-09,4.75E-10,4.02E-05,1.88E-06,MBA,0.54186
a0000009,2000009,     9 Metis,9,Metis,,N,N,6.3,190,0.118,,JPL 116,2459000.5,59000,20200531,J2000,0.123300238,2.386189446,2.091971719,5.576493847,68.90945926,6.33732452,23.91220404,2.680407172,0.267390943,2458911.072,20200302.57,1346.343282,3.686087013,1.10711,430.8539987,1.84E-08,3.09E-09,4.43E-08,2.01E-06,2.42E-05,2.60E-05,1.04E-05,3.47E-09,5.19E-10,3.87E-05,2.61E-06,MBA,0.44895
a0000010,2000010,    10 Hygiea,10,Hygiea,,N,N,5.5,407.12,0.0717,6.8,JPL 96,2459000.5,59000,20200531,J2000,0.11211732,3.142435384,2.79011395,3.831786066,283.1984443,312.4129317,222.8505434,3.494756817,0.176931247,2459775.657,20220715.16,2034.688644,5.570673906,1.7803,692.839351,1.63E-08,6.92E-09,5.10E-08,2.17E-06,2.86E-05,3.02E-05,1.12E-05,7.70E-09,5.85E-10,6.48E-05,6.72E-06,MBA,0.53434
a0000011,2000011,    11 Parthenope,11,Parthenope,,N,N,6.5,142.887,0.191,1.008,JPL 106,2459000.5,59000,20200531,J2000,0.099823315,2.452389779,2.207584102,4.631824772,125.5283793,195.3590505,21.70182202,2.697195457,0.25663733,2458915.938,20200307.44,1402.757738,3.840541378,1.19498,465.0503666,3.07E-08,2.41E-09,7.57E-08,3.42E-06,2.48E-05,2.78E-05,1.20E-05,2.65E-09,3.78E-10,4.69E-05,2.07E-06,MBA,0.46367
a0000012,2000012,    12 Victoria,12,Victoria,,N,N,7.3,115.087,0.163,1.199,JPL 119,2459000.5,59000,20200531,J2000,0.220439092,2.333777699,1.819321863,8.372748679,235.4010329,69.6942219,243.8347335,2.848233535,0.276448887,2459420.705,20210725.21,1302.229877,3.565311093,0.82468,320.9407156,2.45E-08,2.37E-09,5.73E-08,2.52E-06,1.90E-05,1.99E-05,7.39E-06,2.89E-09,4.20E-10,2.71E-05,1.98E-06,MBA,0.54993
a0000013,2000013,    13 Egeria,13,Egeria,,N,N,6.8,202.636,0.07,7.87,JPL 91,2459000.5,59000,20200531,J2000,0.085283111,2.576063889,2.356369146,16.53553175,43.2210228,80.4145424,283.0025922,2.795758633,0.238379623,2459323.503,20210419,1510.196194,4.13469184,1.4357,558.731369,3.27E-08,3.47E-09,8.39E-08,3.78E-06,1.28E-05,2.58E-05,2.22E-05,3.77E-09,4.82E-10,9.32E-05,3.05E-06,MBA,0.56183
a0000014,2000014,    14 Irene,14,Irene,,N,N,6.5,152,0.159,,JPL 84,2459000.5,59000,20200531,J2000,0.166249875,2.586377164,2.156392285,9.121448014,86.12399137,97.80167129,259.7957126,3.016362044,0.236955224,2459423.383,20210727.88,1519.274374,4.159546541,1.18081,459.5358277,3.01E-08,3.28E-09,7.83E-08,3.50E-06,2.04E-05,2.30E-05,1.10E-05,3.83E-09,4.51E-10,4.67E-05,2.89E-06,MBA,0.53686
a0000015,2000015,    15 Eunomia,15,Eunomia,,N,N,5.2,231.689,0.248,2.234,JPL 78,2459000.5,59000,20200531,J2000,0.186177698,2.643689742,2.151493671,11.75361935,292.9347981,98.59525006,15.02560935,3.135885813,0.229291706,2458934.969,20200326.47,1570.052431,4.298569284,1.1949,465.019233,2.56E-08,3.26E-09,6.75E-08,2.43E-06,1.35E-05,1.50E-05,7.21E-06,3.87E-09,4.25E-10,3.14E-05,2.91E-06,MBA,0.56426
